key,title,chart_type,chart_id,uuid,view_link,edit_link,iframe_embed,inject_embed
Figure 2.20b,"Young men with degrees report their college education was useful in helping them grow personally, professionally, and socially.",column,622351,yp25Hk2Ua5,https://app.everviz.com/chart/yp25Hk2Ua5,https://app.everviz.com/edit/622351?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/yp25Hk2Ua5"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/yp25Hk2Ua5""></script>"
Figure 2.21,Young men believe reducing the cost of pursuing a degree and expanding work experience and job placement partnerships would make college a better investment.,stackedbar,622352,Zx5lvrdQz,https://app.everviz.com/chart/Zx5lvrdQz,https://app.everviz.com/edit/622352?editor=&panel=chart_customize&type=stackedbar_chart,"<iframe src=""https://app.everviz.com/embed/Zx5lvrdQz"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/Zx5lvrdQz""></script>"
Figure 2.22,Relational/distrusting young men are most likely to say reducing tuition would help a lot to make college a safer investment.,bar,622353,TrE83qGEUp,https://app.everviz.com/chart/TrE83qGEUp,https://app.everviz.com/edit/622353?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/TrE83qGEUp"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/TrE83qGEUp""></script>"
Figure 2.23,Young men trust community-based organizations more than the government to help make college a better investment.,stackedbar,622354,duPhnFdS5,https://app.everviz.com/chart/duPhnFdS5,https://app.everviz.com/edit/622354?editor=&panel=chart_customize&type=stackedbar_chart,"<iframe src=""https://app.everviz.com/embed/duPhnFdS5"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/duPhnFdS5""></script>"
Figure 2.24,Self-driven/distrusting young men believe employers and industry coalitions are a plausible group to make college a better investment.,bar,622355,IpxiMNvnFs,https://app.everviz.com/chart/IpxiMNvnFs,https://app.everviz.com/edit/622355?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/IpxiMNvnFs"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/IpxiMNvnFs""></script>"
Figure 3.1,Young men and young women report feeling disconnected and irrelevant at similar rates.,bar,622356,oTXXZFfV3,https://app.everviz.com/chart/oTXXZFfV3,https://app.everviz.com/edit/622356?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/oTXXZFfV3"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/oTXXZFfV3""></script>"
Figure 3.2,Relational/distrusting and self-driven/distrusting young men are especially likely to have felt lonely or irrelevant.,bar,622357,Jh3xULaGuq,https://app.everviz.com/chart/Jh3xULaGuq,https://app.everviz.com/edit/622357?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/Jh3xULaGuq"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/Jh3xULaGuq""></script>"
Figure 3.3,Disconnection and irrelevance is lower among relational/distrusting young men who have a degree than those without. This is not true for the self-driven/distrusting peers.,column,622358,l7Jb4ZtiM,https://app.everviz.com/chart/l7Jb4ZtiM,https://app.everviz.com/edit/622358?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/l7Jb4ZtiM"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/l7Jb4ZtiM""></script>"
Figure 3.4,Young women are more likely than young men to say they had someone for emotional support. Young men are more likely to say they felt like part of the country.,bar,622359,ahB8jZO3Xr,https://app.everviz.com/chart/ahB8jZO3Xr,https://app.everviz.com/edit/622359?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/ahB8jZO3Xr"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/ahB8jZO3Xr""></script>"
Figure 3.5,Most relational and self-driven/distrusting young men want more people to connect with and most wish they had deeper connections.,bar,622360,ILrVfAyaK,https://app.everviz.com/chart/ILrVfAyaK,https://app.everviz.com/edit/622360?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/ILrVfAyaK"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/ILrVfAyaK""></script>"
Figure 3.5b,Most relational and self-driven/distrusting young men want more people to connect with and most wish they had deeper connections.,column,622361,gBXJW-QE9y,https://app.everviz.com/chart/gBXJW-QE9y,https://app.everviz.com/edit/622361?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/gBXJW-QE9y"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/gBXJW-QE9y""></script>"
Figure 3.6,Relational/trusting and self-driven/trusting young men with degrees are more likely than their counterparts without a degree to say they had someone to turn to for emotional support.,column,622362,pj3DGh-Iw,https://app.everviz.com/chart/pj3DGh-Iw,https://app.everviz.com/edit/622362?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/pj3DGh-Iw"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/pj3DGh-Iw""></script>"
