	All Respondents	Young men	Young women	Young men, no degree and not currently enrolled	Young men, college degree	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
Q10_9. After high school, I knew exactly what career or job I wanted to pursue									
Strongly agree	22	20	20	18	23	16%	24%	18%	32%
Somewhat agree	28	35	25	29	42	32%	32%	38%	34%
Somewhat disagree	21	19	25	23	15	22%	17%	20%	15%
Strongly disagree	25	21	27	24	18	23%	25%	21%	17%
Don't know 	4	4	3	6	1	7%	2%	3%	2%
Q10_8. I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school									
Strongly agree	23	24	26	18	29	22%	28%	21%	32%
Somewhat agree	33	38	31	35	40	41%	35%	36%	40%
Somewhat disagree	19	23	19	26	20	22%	18%	25%	21%
Strongly disagree	19	11	18	12	10	10%	13%	13%	7%
Don't know 	6	5	6	9	1	6%	5%	6%	1%
Q5A. Which of the following are the top three reasons you did not pursue a college degree immediately after high school? (Base: did not enroll in higher education immediately after completing high school)									
I could not afford to attend	38	28	38	29	n>75	31%	n>75	25%	n>75
I preferred working full time to going to school	29	27	26	28	n>75	34%	n>75	23%	n>75
I needed to work full-time to help support my family	24	23	24	23	n>75	19%	n>75	20%	n>75
I didn’t have a clear idea of what I wanted to study in college	19	27	28	26	n>75	28%	n>75	26%	n>75
A trade school, certificate program, or apprenticeship was a better path for me	17	14	13	14	n>75	13%	n>75	16%	n>75
I did not want to take out student loans	16	24	15	24	n>75	21%	n>75	28%	n>75
A college degree does not guarantee a good job or career	15	16	9	14	n>75	8%	n>75	17%	n>75
A major life event (for example, medical emergency or becoming a parent) prevented me from going	14	11	16	11	n>75	10%	n>75	11%	n>75
I wanted to pursue my own business or be self employed	10	19	11	19	n>75	13%	n>75	22%	n>75
It takes too many years to complete a degree	9	18	11	19	n>75	16%	n>75	20%	n>75
I didn’t pursue a degree for a different reason [OTHER SPECIFY]	7	3	5	3	n>75	3%	n>75	3%	n>75
I felt I could learn what I needed online or through other means	7	13	9	14	n>75	14%	n>75	12%	n>75
I chose to join the military	6	4	5	3	n>75	6%	n>75	4%	n>75
Q7A_1. I have missed out on job opportunities even when I was qualified because I do not have a degree (Base: No degree and not currently enrolled)									
Strongly agree	20	19	24	19	NA	17%	23%	17%	26%
Somewhat agree	24	33	28	33	NA	34%	24%	33%	40%
Somewhat disagree	19	16	18	16	NA	13%	18%	20%	8%
Strongly disagree	29	21	23	21	NA	21%	21%	23%	18%
Don't know 	7	10	7	10	NA	14%	15%	8%	8%
Q7A_2. There are people working in the same position as me who get paid more because they have a college degree (Base: No degree and not currently enrolled)									
Strongly agree	19	18	23	18	NA	14%	14%	17%	34%
Somewhat agree	24	31	25	31	NA	25%	30%	34%	30%
Somewhat disagree	18	18	15	18	NA	16%	13%	23%	8%
Strongly disagree	22	16	19	16	NA	16%	18%	15%	21%
Don't know 	17	17	18	17	NA	28%	26%	10%	7%
Q7A_3. I often feel people look down on me because I do not have a college degree (Base: No degree and not currently enrolled)									
Strongly agree	14	16	24	16	NA	9%	24%	16%	33%
Somewhat agree	28	33	33	33	NA	30%	35%	35%	32%
Somewhat disagree	18	22	19	22	NA	19%	15%	27%	18%
Strongly disagree	35	22	21	22	NA	32%	20%	19%	13%
Don't know 	5	6	3	6	NA	10%	7%	3%	4%
Q10_2. Men with college degrees are generally seen as smarter and more professional than men without them									
Strongly agree	26	27	27	21	34	21%	30%	27%	38%
Somewhat agree	41	43	40	41	45	45%	39%	44%	40%
Somewhat disagree	17	17	18	20	14	20%	18%	17%	13%
Strongly disagree	9	8	9	11	5	7%	11%	8%	6%
Don't know 	7	5	6	7	2	8%	3%	4%	3%
Q10_13. I regret pursuing a college degree (Base: College degree or currently enrolled)									
Strongly agree	9	11	9	NA	11	3%	n>75	11%	22%
Somewhat agree	12	20	16	NA	20	20%	n>75	19%	25%
Somewhat disagree	21	25	22	NA	25	27%	n>75	25%	20%
Strongly disagree	56	41	49	NA	41	47%	n>75	42%	30%
Don't know 	2	3	4	NA	3		n>75		
Q7A_4. I regret my decision on whether to pursue a college degree immediately after high school (Base: No degree and not currently enrolled)									
Strongly agree	19	14	23	14	NA	13%	17%	12%	21%
Somewhat agree	27	33	30	33	NA	28%	34%	38%	25%
Somewhat disagree	20	21	25	21	NA	19%	16%	24%	23%
Strongly disagree	27	24	16	24	NA	32%	23%	19%	22%
Don't know 	7	8	7	8	NA	7%	10%	7%	9%
Q7A_7. I would like to earn a college degree but it feels unattainable (Base: No degree and not currently enrolled)									
Strongly agree	20	17	28	17	NA	12%	19%	17%	33%
Somewhat agree	27	36	32	36	NA	36%	46%	34%	34%
Somewhat disagree	19	22	18	22	NA	25%	18%	23%	17%
Strongly disagree	27	18	14	18	NA	16%	18%	21%	13%
Don't know 	6	6	7	6	NA	11%	0%	6%	4%
Q7A_8. I would like to earn a college degree but I don’t know what I want to study (Base: No degree and not currently enrolled)									
Strongly agree	17	22	30	22	NA	10%	33%	24%	28%
Somewhat agree	25	37	30	37	NA	41%	31%	36%	41%
Somewhat disagree	20	20	19	20	NA	18%	20%	22%	15%
Strongly disagree	32	15	18	15	NA	19%	15%	14%	13%
Don't know 	6	6	3	6	NA	11%	2%	5%	3%
Q7A_9. I would like to earn a college degree but worry I cannot afford it (Base: No degree and not currently enrolled)									
Strongly agree	29	30	41	30	NA	25%	41%	27%	42%
Somewhat agree	22	34	30	34	NA	37%	26%	35%	27%
Somewhat disagree	16	15	15	15	NA	14%	15%	17%	13%
Strongly disagree	26	14	10	14	NA	13%	11%	15%	14%
Don't know 	7	7	3	7	NA	10%	6%	7%	4%
Q7B. Which of the following best describes why you pursued a college degree? (Base: College degree or currently enrolled)									
To gain the specific knowledge and skills needed for a desired job or career	49	44%	42%	NA	44%	45%	n>75	44%	41%
To achieve long-term financial security and stability for myself or my family	39	39%	44%	NA	39%	41%	n>75	36%	40%
To build a professional network and make connections that will help my career	19	29%	20%	NA	29%	26%	n>75	29%	29%
To study a topic I am passionate about or interested in	31	29%	34%	NA	29%	34%	n>75	25%	29%
To meet new people and have the college experience 	18	26%	21%	NA	26%	23%	n>75	23%	36%
To meet family expectations	19	25%	23%	NA	25%	15%	n>75	27%	30%
To explore various fields and options before deciding on a career path	19	25%	20%	NA	25%	28%	n>75	27%	18%
I pursued it right after high school to get it done quickly since I knew I wanted a degree eventually  	22	22%	25%	NA	22%	22%	n>75	20%	28%
To be the first in my family to earn a degree	16	15%	15%	NA	15%	12%	n>75	14%	19%
Q24_9. Thinking about my life, things are generally going in the right direction									
Strongly agree	28	26	28	22	30	25%	22%	23%	36%
Somewhat agree	45	42	42	40	45	42%	46%	44%	37%
Somewhat disagree	6	21	17	25	17	23%	13%	23%	17%
Strongly disagree	7	8	8	9	7	7%	18%	6%	8%
Don't know 	4	3	5	4	2	3%	1%	4%	2%
Q10_10. There are a lot of good job opportunities available for people like me									
Strongly agree	28	31	25	27	35	26%	32%	31%	40%
Somewhat agree	39	41	35	40	42	45%	36%	41%	39%
Somewhat disagree	18	18	22	21	15	19%	21%	19%	10%
Strongly disagree	8	7	13	7	6	5%	10%	6%	9%
Don't know 	7	4	6	5	2	5%	1%	4%	3%
Q9_2. Which of the following statements comes closest to your views?									
If I work hard and stay focused, I will end up financially successful in the long run	72	78	65	73	83	81%	78%	77%	74%
No matter how hard I work, it is likely that I will always live paycheck to paycheck	28	22	35	27	17	19%	22%	23%	26%
Q8. How useful was your college education when it comes to each of the following? (Base: College degree)									
Q8_1. Helping you develop specific skills and knowledge that could be used in the workplace									
Extremely useful	34	32	33	NA	32	26%	n>75	33%	36%
Very useful	33	35	35	NA	35	43%	n>75	29%	35%
Somewhat useful	19	19	23	NA	19	22%	n>75	21%	14%
A little useful	8	9	7	NA	9	6%	n>75	11%	8%
Not at all useful	5	5	2	NA	5	3%	n>75	6%	7%
I don't know	1	-	1	NA	*	0%	n>75	0%	1%
Q8_2. Helping you grow personally and intellectually									
Extremely useful	36	27	35	NA	27	29%	n>75	23%	29%
Very useful	34	40	36	NA	40	40%	n>75	40%	40%
Somewhat useful	18	21	16	NA	21	24%	n>75	24%	17%
A little useful	7	6	7	NA	6	5%	n>75	9%	2%
Not at all useful	4	4	4	NA	4	1%	n>75	4%	8%
I don't know	1	2	1	NA	2	2%	n>75	1%	3%
Q8_3. Connecting you directly to internships or other hands-on work experience									
Extremely useful	23	24	26	NA	24	15%	n>75	20%	38%
Very useful	26	35	29	NA	35	41%	n>75	33%	34%
Somewhat useful	20	26	25	NA	26	29%	n>75	29%	19%
A little useful	12	7	11	NA	7	7%	n>75	9%	3%
Not at all useful	17	8	8	NA	8	8%	n>75	7%	6%
I don't know	1	1	-	NA	1	0%	n>75	1%	0%
Q8_4. Providing professional networking opportunities									
Extremely useful	22	26	23	NA	26	20%	n>75	23%	28%
Very useful	25	35	30	NA	35	37%	n>75	36%	39%
Somewhat useful	23	23	28	NA	23	27%	n>75	23%	17%
A little useful	15	9	10	NA	9	10%	n>75	10%	8%
Not at all useful	13	7	8	NA	7	7%	n>75	8%	8%
I don't know	1	1	1	NA	1	0%	n>75	1%	0%
Q8_5. Finding a community of friends									
Extremely useful	21	22	24	NA	22	17%	n>75	25%	23%
Very useful	30	38	26	NA	38	38%	n>75	34%	47%
Somewhat useful	24	23	24	NA	23	28%	n>75	27%	18%
