section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting,"Young men, no degree and not currently enrolled","Young men, college degree"
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_11,Reduce the total number of credits required for a degree to make it easier for students to graduate quicker,Not much,20,19,17,,,25,12,19,12,16,22
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_11,Reduce the total number of credits required for a degree to make it easier for students to graduate quicker,Not at all,10,6,10,,,6,1,8,3,5,6
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_11,Reduce the total number of credits required for a degree to make it easier for students to graduate quicker,Don't know,8,5,6,,,7,5,5,2,7,2
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_1,The federal government,A lot,19,23,18,,,17,28,24,28,21,26
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_1,The federal government,Somewhat,28,31,26,,,32,22,32,35,29,33
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_1,The federal government,A little,22,21,25,,,24,17,22,14,20,21
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_1,The federal government,Not at all,24,20,24,,,22,27,17,19,23,16
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_1,The federal government,Don't know,7,5,7,,,5,7,6,4,7,3
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_2,State governments,A lot,19,25,21,,,18,34,25,33,22,29
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_2,State governments,Somewhat,33,33,33,,,33,26,35,34,31,35
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_2,State governments,A little,24,22,23,,,29,19,21,12,23,21
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_2,State governments,Not at all,16,14,15,,,14,15,14,16,17,11
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_2,State governments,Don't know,7,6,8,,,6,7,5,5,7,4
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_3,Accrediting agencies that oversee colleges and universities,A lot,23,23,20,,,18,30,24,26,20,27
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_3,Accrediting agencies that oversee colleges and universities,Somewhat,38,43,38,,,47,37,42,44,41,45
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_3,Accrediting agencies that oversee colleges and universities,A little,21,17,23,,,16,16,19,16,17,17
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_3,Accrediting agencies that oversee colleges and universities,Not at all,11,9,10,,,10,11,9,9,11,7
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_3,Accrediting agencies that oversee colleges and universities,Don't know,8,7,9,,,10,7,6,5,10,4
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_4,Philanthropic or non-profit organizations,A lot,23,22,22,,,20,27,21,27,19,25
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_4,Philanthropic or non-profit organizations,Somewhat,37,39,35,,,40,49,36,43,39,40
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_4,Philanthropic or non-profit organizations,A little,21,21,23,,,21,12,26,16,21,22
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_4,Philanthropic or non-profit organizations,Not at all,11,10,10,,,10,6,12,8,11,8
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_4,Philanthropic or non-profit organizations,Don't know,9,7,10,,,11,7,6,6,9,5
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_5,College and university Presidents and Boards of Trustees,A lot,22,25,25,,,19,31,24,32,20,30
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_5,College and university Presidents and Boards of Trustees,Somewhat,37,39,36,,,38,30,40,41,37,40
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_5,College and university Presidents and Boards of Trustees,A little,21,21,18,,,25,25,20,11,24,16
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_5,College and university Presidents and Boards of Trustees,Not at all,26,11,13,,,12,10,12,11,13,10
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_5,College and university Presidents and Boards of Trustees,Don't know,8,5,8,,,6,4,5,5,6,4
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_6,College and university professors and faculty,A lot,27,30,31,,,28,41,28,35,26,34
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_6,College and university professors and faculty,Somewhat,39,38,38,,,36,35,39,42,37,40
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_6,College and university professors and faculty,A little,17,18,18,,,20,17,19,13,21,15
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_6,College and university professors and faculty,Not at all,11,9,7,,,10,7,10,5,10,8
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_6,College and university professors and faculty,Don't know,6,5,5,,,6,0,5,5,6,3
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_7,Community-based organizations,A lot,24,29,25,,,26,33,27,34,27,30
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_7,Community-based organizations,Somewhat,40,44,40,,,49,51,41,39,44,44
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_7,Community-based organizations,A little,20,17,21,,,15,9,21,16,16,18
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_7,Community-based organizations,Not at all,8,6,7,,,4,4,7,6,6,5
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_7,Community-based organizations,Don't know,7,5,6,,,5,2,5,6,7,3
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_8,Employers and industry coalitions,A lot,24,24,21,,,18,25,26,33,20,28
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_8,Employers and industry coalitions,Somewhat,40,41,40,,,40,42,40,46,39,43
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_8,Employers and industry coalitions,A little,20,20,18,,,26,26,20,6,23,16
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_8,Employers and industry coalitions,Not at all,9,9,14,,,10,6,8,10,10,8
Degrees of Doubt,Q14,To what extent do you trust each of the following to help make college a better investment for Americans?,Q14_8,Employers and industry coalitions,Don't know,7,6,7,,,7,2,6,5,7,4
