section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting,"Young men, no degree and not currently enrolled","Young men, college degree"
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Somewhat disagree,15,16,16,,,17,11,18,10,16,
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Strongly disagree,14,8,9,,,5,9,10,6,8,
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Don't know,5,7,5,,,12,6,3,6,7,
Degrees of Doubt,Q10_9,"After high school, I knew exactly what career or job I wanted to pursue",,,Strongly agree,22,20,20,,,16,24,18,32,18,23
Degrees of Doubt,Q10_9,"After high school, I knew exactly what career or job I wanted to pursue",,,Somewhat agree,28,35,25,,,32,32,38,34,29,42
Degrees of Doubt,Q10_9,"After high school, I knew exactly what career or job I wanted to pursue",,,Somewhat disagree,21,19,25,,,22,17,20,15,23,15
Degrees of Doubt,Q10_9,"After high school, I knew exactly what career or job I wanted to pursue",,,Strongly disagree,25,21,27,,,23,25,21,17,24,18
Degrees of Doubt,Q10_9,"After high school, I knew exactly what career or job I wanted to pursue",,,Don't know,4,4,3,,,7,2,3,2,6,1
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Strongly agree,23,24,26,,,22,28,21,32,18,29
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Somewhat agree,33,38,31,,,41,35,36,40,35,40
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Somewhat disagree,19,23,19,,,22,18,25,21,26,20
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Strongly disagree,19,11,18,,,10,13,13,7,12,10
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Don't know,6,5,6,,,6,5,6,1,9,1
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,I could not afford to attend,38,28,38,,,31,,25,,29,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,I preferred working full time to going to school,29,27,26,,,34,,23,,28,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,I needed to work full-time to help support my family,24,23,24,,,19,,20,,23,
