section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_5,Collaborate and work well with others,Not important at all,1,2,2,1,*,1,0,3,1
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_5,Collaborate and work well with others,Don't know,1,2,2,1,*,1,0,3,1
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_6,Compromise,Very important,53,44,58,46,46,49,58,35,53
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_6,Compromise,Somewhat important,37,40,29,40,46,39,37,44,32
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_6,Compromise,Not too important,7,11,8,10,4,9,4,14,12
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_6,Compromise,Not important at all,1,3,2,3,1,2,1,5,2
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_6,Compromise,Don't know,2,2,3,2,2,2,1,3,1
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_7,Follow rules,Very important,54,48,52,52,61,54,59,41,50
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_7,Follow rules,Somewhat important,35,38,33,33,35,35,36,40,39
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_7,Follow rules,Not too important,7,9,9,10,4,6,5,13,9
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_7,Follow rules,Not important at all,1,2,2,3,*,2,0,4,1
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_7,Follow rules,Don't know,2,2,4,2,*,3,0,2,2
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_8,Have final say in family decisions,Very important,28,32,31,33,21,27,37,31,43
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_8,Have final say in family decisions,Somewhat important,33,38,30,36,37,37,36,38,42
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_8,Have final say in family decisions,Not too important,24,21,22,23,32,24,17,23,10
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_8,Have final say in family decisions,Not important at all,12,6,14,6,8,9,7,6,4
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_8,Have final say in family decisions,Don't know,3,4,4,2,2,4,3,4,2
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_9,"Participate in household chores, like cooking and cleaning",Very important,54,45,50,54,55,49,56,38,53
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_9,"Participate in household chores, like cooking and cleaning",Somewhat important,35,37,31,32,39,40,33,38,33
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_9,"Participate in household chores, like cooking and cleaning",Not too important,8,12,12,10,3,7,11,16,13
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_9,"Participate in household chores, like cooking and cleaning",Not important at all,2,4,4,2,2,3,0,6,2
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_9,"Participate in household chores, like cooking and cleaning",Don't know,1,1,2,2,*,2,0,2,1
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_12,Men and women should be paid the same amount of money if they do the same work,Strongly agree,65,50,66,55,67,55,71,43,50
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_12,Men and women should be paid the same amount of money if they do the same work,Somewhat agree,23,28,21,30,24,29,21,29,31
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_12,Men and women should be paid the same amount of money if they do the same work,Somewhat disagree,7,13,7,9,5,9,5,18,14
