section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_7,Community organizations/ Non-Profits,None at all,8,8,9,10,5,8,9,8,11
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_7,Community organizations/ Non-Profits,Don't know,6,5,5,5,4,8,4,5,1
Alienated and (Dis)Engaged,Q32,Which of the following statements comes closest to your views?,,,The design and structure of our nation’s government is fine as long as we elect the right people to represent us,49,46,45,51,59,46,33,49,43
Alienated and (Dis)Engaged,Q32,Which of the following statements comes closest to your views?,,,The design and structure of our nation’s government needs significant changes no matter who we elect to represent us,51,55,55,49,41,54,67,51,57
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_1,At the national level,A lot of influence,14,18,17,17,8,16,16,17,26
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_1,At the national level,Some influence,29,31,28,33,24,28,33,31,36
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_1,At the national level,A little influence,30,28,27,24,39,32,25,32,15
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_1,At the national level,No  influence at all,23,18,23,21,28,17,25,16,23
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_1,At the national level,Don't know,4,4,5,5,1,7,2,4,0
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_2,In local communities,A lot of influence,22,24,27,26,17,19,32,23,29
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_2,In local communities,Some influence,42,44,39,43,41,44,40,45,44
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_2,In local communities,A little influence,23,20,22,18,28,23,16,21,16
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_2,In local communities,No  influence at all,9,10,8,9,13,9,11,9,11
Alienated and (Dis)Engaged,Q29,"When it comes to how problems are addressed, how much influence, if any, do you think ordinary people have…",Q29_2,In local communities,Don't know,4,3,4,4,1,5,2,3,0
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_1,Volunteered in your community,Often,11,10,12,14,8,6,12,8,22
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_1,Volunteered in your community,Sometimes,33,34,33,32,25,31,29,36,36
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_1,Volunteered in your community,Hardly ever,21,26,23,20,20,30,23,29,17
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_1,Volunteered in your community,Never,36,30,32,34,48,34,36,28,25
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_2,Attended a non-political community event such as a fair or sports program,Often,10,12,14,14,5,11,14,11,14
